Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
24CS,2.88,1.41,779800.0,2259.0,0.0,,-,,-,0.0,,,,-,30.23,,,
2S,3.24,-1.22,221300.0,718.0,1793.0,,0.90,0.26,0.27,0.0,-2.64,-4.19,-2.68,13.19,57.5,,,
3K-BAT,62.0,0.0,0.0,0.0,4861.0,29.33,2.04,0.61,0.06,0.54,6.46,7.05,3.05,0.50,2.1,649.0,619.0,0.29
7UP,0.78,0.0,8881400.0,6977.0,4063.0,119.96,1.61,0.38,,0.01,0.31,1.32,-12.96,,63.37,1207.0,1262.0,-4.9
A,5.0,-0.99,1900.0,10.0,4880.0,,1.54,3.42,,0.0,2.11,-2.6,2.87,,24.92,,,
A5,3.84,1.05,406500.0,1558.0,4668.0,48.59,5.36,1.28,0.01,0.08,9.31,11.58,11.89,0.26,26.38,773.0,741.0,3.58
AAI,6.8,1.49,4036300.0,27385.0,0.0,,-,,-,0.0,,,,-,26.68,,,
AAV,2.82,-3.42,94505700.0,268676.0,34060.0,,6.22,23.11,,0.0,-22.62,-180.36,-117.0,,34.76,,,
ABICO,3.98,-3.4,333300.0,1342.0,973.0,26.14,0.95,,0.05,0.15,,,,1.10,27.66,,,-0.21
ABM,1.88,2.17,511600.0,957.0,756.0,27.35,1.30,2.67,,0.07,4.09,7.14,1.28,,36.71,815.0,876.0,-0.21
ACAP,0.67,-1.47,1067100.0,705.0,272.0,,,-10.9,,0.0,-12.62,133.24,-5233.94,,60.41,,,
ACC,1.18,1.72,997100.0,1158.0,1571.0,9.83,2.29,0.09,,0.12,21.11,26.38,729.81,,64.02,192.0,166.0,0.27
ACE,2.48,0.81,7772000.0,19266.0,25236.0,17.17,1.76,0.39,0.02,0.14,9.02,10.73,21.39,0.81,24.04,575.0,511.0,0.38
ACG,1.54,0.0,71900.0,109.0,900.0,39.58,1.34,0.85,0.01,0.04,4.57,3.41,1.24,0.86,25.38,1043.0,929.0,3.1
ADB,1.35,0.75,1242000.0,1685.0,1031.0,123.47,1.56,1.74,0.05,0.01,1.48,1.24,0.64,4.08,45.32,1209.0,1201.0,0.25
ADD,9.8,2.08,199900.0,1939.0,1560.0,22.73,2.93,0.19,0.04,0.43,12.46,12.68,16.74,4.80,39.54,585.0,487.0,0.63
ADVANC,209.0,0.0,5039600.0,1052002.0,621610.0,23.9,7.25,2.93,4.24,8.74,10.79,31.08,13.97,3.68,36.23,416.0,546.0,-9.91
AEONTS,201.0,1.26,311100.0,62232.0,49625.0,12.31,2.28,3.31,2.55,16.13,4.49,19.94,20.58,2.56,30.91,309.0,638.0,0.55
AF,1.15,0.0,151300.0,175.0,1904.0,36.7,3.31,2.82,0.03,0.03,2.53,9.21,22.94,2.17,21.72,813.0,1028.0,933.42
AFC,8.45,-1.17,29900.0,249.0,387.0,,0.33,0.3,0.14,0.0,-1.89,-2.29,-13.16,1.66,39.38,,,
AGE,3.66,1.67,886500.0,3234.0,4112.0,3.17,1.29,1.9,0.18,1.19,20.85,48.32,6.93,5.03,45.03,26.0,55.0,0.06
AH,29.5,0.85,793800.0,23248.0,10734.0,6.96,1.13,1.59,0.58,4.34,8.52,17.08,6.82,3.19,53.52,208.0,303.0,0.08
AHC,18.8,1.08,57100.0,1071.0,2818.0,10.4,1.39,0.19,0.60,1.81,13.73,13.11,13.63,3.21,58.57,292.0,197.0,0.25
AI,6.6,1.54,123300.0,809.0,4585.0,36.01,1.98,0.19,0.20,0.18,3.86,5.11,1.45,6.82,51.09,799.0,783.0,0.79
AIE,2.72,0.0,1788600.0,4880.0,3608.0,,1.80,0.24,,0.0,-0.75,-1.02,-0.29,,29.01,,,-0.18
AIRA,1.97,1.03,51000.0,97.0,12440.0,162.55,3.40,1.2,,0.0,0.71,2.09,1.38,,25.77,1181.0,1253.0,-1.94
AIT,6.1,0.83,1722800.0,10481.0,8120.0,14.99,2.17,0.7,0.17,0.41,11.32,15.93,8.05,4.69,75.28,414.0,397.0,1.36
AJ,11.4,0.88,284300.0,3257.0,5060.0,12.03,1.07,1.52,0.38,0.96,4.2,9.06,3.02,5.70,44.09,533.0,644.0,0.04
AJA,0.25,-3.85,20523800.0,5213.0,1339.0,,1.56,0.26,,0.0,-15.28,-20.38,-26.33,,79.08,,,
AKP,2.12,1.92,532600.0,1120.0,848.0,23.91,1.42,0.2,0.05,0.09,6.48,6.01,9.42,2.36,48.51,837.0,698.0,12.34
AKR,0.97,1.04,625900.0,603.0,1413.0,11.53,1.07,0.73,0.02,0.08,7.96,9.53,6.54,3.09,68.07,506.0,445.0,-0.06
ALL,0.28,-3.45,7853000.0,2254.0,481.0,,0.24,3.02,,0.0,-3.43,-29.1,-63.99,,33.36,,,
ALLA,1.41,0.71,91500.0,128.0,846.0,15.69,1.01,0.26,0.05,0.09,6.33,6.5,6.72,3.55,34.93,691.0,582.0,-4.87
ALPHAX,1.38,3.76,22764200.0,31340.0,2641.0,143.03,1.92,0.2,,0.01,3.41,1.92,13.53,,76.96,1186.0,1105.0,
ALT,2.14,0.94,80600.0,172.0,2423.0,,1.41,0.88,,0.0,-0.77,-2.63,2.66,,30.01,,,
ALUCON,190.5,0.0,0.0,0.0,8208.0,12.11,1.28,0.15,10.00,15.69,11.31,10.84,10.34,5.25,21.37,472.0,343.0,-2.02
AMA,6.35,-0.78,2211000.0,14123.0,3185.0,10.38,1.12,0.58,0.15,0.59,9.59,11.84,11.26,,35.65,397.0,359.0,0.55
AMANAH,3.92,0.51,1118200.0,4354.0,4041.0,13.77,2.28,1.32,0.16,0.28,7.52,17.15,32.48,4.08,43.65,362.0,499.0,0.19
AMARC,2.86,2.88,500600.0,1421.0,1218.0,83.91,2.23,0.28,0.08,0.03,4.2,3.82,5.49,3.50,26.62,1100.0,1027.0,
AMARIN,7.0,0.0,2400.0,17.0,6938.0,14.56,1.51,0.33,0.19,0.48,8.19,10.69,12.32,2.71,17.96,525.0,492.0,-0.37
AMATA,19.9,0.51,2624300.0,52154.0,23000.0,10.02,1.20,0.99,0.20,2.0,9.6,12.7,26.49,2.01,72.13,359.0,340.0,0.97
AMATAV,7.0,0.72,45200.0,317.0,6545.0,3.94,1.12,1.1,0.05,1.78,18.22,34.34,47.96,0.71,20.84,56.0,81.0,-0.01
AMC,2.98,0.68,100200.0,296.0,1431.0,13.65,0.51,0.5,0.34,0.22,4.11,3.68,-2.15,11.41,30.67,748.0,676.0,0.59
